,code,url,creator,Unnamed: 3,product_name,Unnamed: 5,quantity,countries,ingredients,allergens,Unnamed: 10,Unnamed: 11,Unnamed: 12,serving_size,Unnamed: 14,Unnamed: 15,Unnamed: 16,nutriscore_score,nutriscore_grade,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,Unnamed: 38,nutrition-score-fr_100g
0,8001100050829,https://world.openfoodfacts.org/product/8001100050829,jeanbono,0.0,Balocco La colomba,0.0,750.0,Italia,farina di FRUMENTO - olio d'ARACHIDE - mandorle d'albicocca - aromi) - BURRO - zucchero - tuorlo d'UOVA fresche - lievito naturale (FRUMENTO) - granella di zucchero - MANDORLE - emulsionanti: mono e digliceridi acidi grassi (di origine vegetale) - sciroppo di zucchero invertito - sale - LATTE scremato in polvere - aromi. Può contenere tracce di altra frutta a guscio e soia.,"en:eggs,en:gluten,en:milk,en:nuts",0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,d,https://static.openfoodfacts.org/images/products/800/110/005/0829/front_it.8.400.jpg,https://static.openfoodfacts.org/images/products/800/110/005/0829/front_it.8.200.jpg,https://static.openfoodfacts.org/images/products/800/110/005/0829/front_it.8.400.jpg,https://static.openfoodfacts.org/images/products/800/110/005/0829/front_it.8.200.jpg,https://static.openfoodfacts.org/images/products/800/110/005/0829/ingredients_it.18.400.jpg,https://static.openfoodfacts.org/images/products/800/110/005/0829/ingredients_it.18.200.jpg,https://static.openfoodfacts.org/images/products/800/110/005/0829/nutrition_it.25.400.jpg,https://static.openfoodfacts.org/images/products/800/110/005/0829/nutrition_it.25.200.jpg,0.0,385.0,1611.0,15.0,7.0,55.0,32.0,0.0,6.5,0.4,0.16,0.0,18.0
1,3258590002509,https://world.openfoodfacts.org/product/3258590002509,kiliweb,0.0,Chocolat lait 47% cacahuète salée,0.0,0.0,France,"Cacahuète grillée salée entière* (cacahuète entière*, sel) (30%), beurre de cacao*, sucre de canne blond*, lait entier* (15%), masse de cacao*, lait écrémé* (3%), vanille en poudre*. Cacao: 47% minimum. *ingrédients issus de l'agriculture biologique. Issu du commerce équitable. Peut contenir des traces d'autres fruits à coques.",en:milk,0.0,0.0,0.0,0,0.0,0.0,0.0,25.0,e,https://static.openfoodfacts.org/images/products/325/859/000/2509/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/325/859/000/2509/front_fr.6.200.jpg,https://static.openfoodfacts.org/images/products/325/859/000/2509/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/325/859/000/2509/front_fr.6.200.jpg,https://static.openfoodfacts.org/images/products/325/859/000/2509/ingredients_fr.13.400.jpg,https://static.openfoodfacts.org/images/products/325/859/000/2509/ingredients_fr.13.200.jpg,https://static.openfoodfacts.org/images/products/325/859/000/2509/nutrition_fr.26.400.jpg,https://static.openfoodfacts.org/images/products/325/859/000/2509/nutrition_fr.26.200.jpg,0.0,593.0,2481.0,45.0,20.0,31.0,26.0,0.0,14.0,0.7,0.28,0.0,25.0
2,716445111002,https://world.openfoodfacts.org/product/0716445111002,usda-ndb-import,0.0,"Happy Snack, Animal Crackers",0.0,0.0,United States,"Wheat flour, palm oil, powdered sugar, tapioca syrup, salt, baking soda, natural vanilla flavor and natural butter flavor.",en:gluten,0.0,0.0,0.0,8 COOKIES (30 g),0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,433.0,1812.0,8.9,3.5,35.6,8.9,3.3,3.6,0.0,0.0,0.0,0.0
3,3173310012579,https://world.openfoodfacts.org/product/3173310012579,edzeronk,0.0,Brioche Tressée Pur Beurre,0.0,600.0,France,"Farine de blé (gluten), œufs frais, beurre 15%, sucre, levain 3.5% (farine de blé, eau), rhum, levure, sel. Contient : gluten, œufs et lait. Traces éventuelles de soja.    SANS COLORANT - SANS CONSERVATEUR - SANS ADDITIF","en:eggs,en:gluten,en:milk",0.0,0.0,0.0,0,0.0,0.0,0.0,20.0,e,https://static.openfoodfacts.org/images/products/317/331/001/2579/front_fr.30.400.jpg,https://static.openfoodfacts.org/images/products/317/331/001/2579/front_fr.30.200.jpg,https://static.openfoodfacts.org/images/products/317/331/001/2579/front_fr.30.400.jpg,https://static.openfoodfacts.org/images/products/317/331/001/2579/front_fr.30.200.jpg,https://static.openfoodfacts.org/images/products/317/331/001/2579/ingredients_fr.38.400.jpg,https://static.openfoodfacts.org/images/products/317/331/001/2579/ingredients_fr.38.200.jpg,https://static.openfoodfacts.org/images/products/317/331/001/2579/nutrition_fr.61.400.jpg,https://static.openfoodfacts.org/images/products/317/331/001/2579/nutrition_fr.61.200.jpg,1605.0,382.0,1605.0,16.0,11.5,49.59999847,15.19999981,0.0,9.199999809,0.8399999737999999,0.33599998950000004,0.0,20.0
4,7622300185015,https://world.openfoodfacts.org/product/7622300185015,gilduv,0.0,Milka & Daim,0.0,0.0,"Frankreich,Deutschland,Schweiz","Zucker, Kakaobutter, _Magermilchpulver_, Kakaomasse, Süßmolkenpulver (aus _Milch_), Palmöl, _Butterreinfett_, _Mandeln_ (1%), _Haselnüsse_, gezuckerte _Kondensmagermilch_, Emulgator (_Sojalecithin_), Speisesalz, Molkenerzeugnis (aus _Milch_), Aromen","en:milk,en:nuts,en:soybeans",0.0,0.0,0.0,0,0.0,0.0,0.0,27.0,e,https://static.openfoodfacts.org/images/products/762/230/018/5015/front_de.12.400.jpg,https://static.openfoodfacts.org/images/products/762/230/018/5015/front_de.12.200.jpg,https://static.openfoodfacts.org/images/products/762/230/018/5015/front_de.12.400.jpg,https://static.openfoodfacts.org/images/products/762/230/018/5015/front_de.12.200.jpg,https://static.openfoodfacts.org/images/products/762/230/018/5015/ingredients_de.9.400.jpg,https://static.openfoodfacts.org/images/products/762/230/018/5015/ingredients_de.9.200.jpg,https://static.openfoodfacts.org/images/products/762/230/018/5015/nutrition_de.10.400.jpg,https://static.openfoodfacts.org/images/products/762/230/018/5015/nutrition_de.10.200.jpg,2205.0,0.0,2205.0,29.5,16.5,59.0,58.0,1.6,5.4,0.6,0.24,0.0,27.0
5,3215470516778,https://world.openfoodfacts.org/product/3215470516778,kiliweb,0.0,Barbe à papa,0.0,0.0,France,',0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,d,https://static.openfoodfacts.org/images/products/321/547/051/6778/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/321/547/051/6778/front_fr.4.200.jpg,https://static.openfoodfacts.org/images/products/321/547/051/6778/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/321/547/051/6778/front_fr.4.200.jpg,https://static.openfoodfacts.org/images/products/321/547/051/6778/ingredients_fr.8.400.jpg,https://static.openfoodfacts.org/images/products/321/547/051/6778/ingredients_fr.8.200.jpg,https://static.openfoodfacts.org/images/products/321/547/051/6778/nutrition_fr.17.400.jpg,https://static.openfoodfacts.org/images/products/321/547/051/6778/nutrition_fr.17.200.jpg,0.0,394.0,1648.0,0.0,0.0,98.5,98.5,0.0,0.0,0.0,0.0,0.0,14.0
6,6411401015199,https://world.openfoodfacts.org/product/6411401015199,kiliweb,0.0,Taste of Finland,0.0,250.0,"Ahvenanmaan maakunta,Suomi","_milk_, sugar, cocoa butter, cocoa mass, emulsifier (lecithin incl. _soya_), salt, flavouring.","en:milk,en:soybeans",0.0,0.0,0.0,0,0.0,0.0,0.0,27.0,e,https://static.openfoodfacts.org/images/products/641/140/101/5199/front_en.23.400.jpg,https://static.openfoodfacts.org/images/products/641/140/101/5199/front_en.23.200.jpg,https://static.openfoodfacts.org/images/products/641/140/101/5199/front_en.23.400.jpg,https://static.openfoodfacts.org/images/products/641/140/101/5199/front_en.23.200.jpg,https://static.openfoodfacts.org/images/products/641/140/101/5199/ingredients_en.24.400.jpg,https://static.openfoodfacts.org/images/products/641/140/101/5199/ingredients_en.24.200.jpg,https://static.openfoodfacts.org/images/products/641/140/101/5199/nutrition_en.25.400.jpg,https://static.openfoodfacts.org/images/products/641/140/101/5199/nutrition_en.25.200.jpg,2260.0,550.0,2260.0,33.0,21.0,49.0,48.0,0.0,11.0,0.3,0.12,0.0,27.0
7,7613356627123,https://world.openfoodfacts.org/product/7613356627123,kiliweb,0.0,Coop Naturaplan Fairtrade Bio Cacao Nacional 60% Arriba,0.0,100.0,Suisse,"cacao en pâte* (Équateur), sucre de canne* (Paraguay), beurre  de cacao* (République dominicaine, Pérou), grains de cacao* 8% (Pérou), gousses de vanille*. Cacao: 60% minimum. * Ingrédients conformes aux standards du commerce équitable Fairtrade. 100% du poids total. Dont produits à base  de cacao et sucres avec bilan de masse. www.maxhavelaar.ch/bilandemasse.  Tous les ingrédients agricoles sont issus de la production biologique.",0,0.0,0.0,0.0,0,0.0,0.0,0.0,19.0,e,https://static.openfoodfacts.org/images/products/761/335/662/7123/front_fr.9.400.jpg,https://static.openfoodfacts.org/images/products/761/335/662/7123/front_fr.9.200.jpg,https://static.openfoodfacts.org/images/products/761/335/662/7123/front_fr.9.400.jpg,https://static.openfoodfacts.org/images/products/761/335/662/7123/front_fr.9.200.jpg,https://static.openfoodfacts.org/images/products/761/335/662/7123/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/761/335/662/7123/ingredients_fr.7.200.jpg,https://static.openfoodfacts.org/images/products/761/335/662/7123/nutrition_fr.17.400.jpg,https://static.openfoodfacts.org/images/products/761/335/662/7123/nutrition_fr.17.200.jpg,0.0,568.0,2377.0,40.0,25.0,42.0,36.0,9.0,5.8000001910000005,0.0,0.0,0.0,19.0
8,3501275130289,https://world.openfoodfacts.org/product/3501275130289,kiliweb,0.0,Croibleu Bio Mandarine/Citron,0.0,180.0,France,"Sirop de glucose*, sucre de canne*, arôme naturel de citron , arôme naturel de mandarine*, menthol*. *issus de l'agriculture biologique",0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,d,https://static.openfoodfacts.org/images/products/350/127/513/0289/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/350/127/513/0289/front_fr.3.200.jpg,https://static.openfoodfacts.org/images/products/350/127/513/0289/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/350/127/513/0289/front_fr.3.200.jpg,0,0,https://static.openfoodfacts.org/images/products/350/127/513/0289/nutrition_fr.15.400.jpg,https://static.openfoodfacts.org/images/products/350/127/513/0289/nutrition_fr.15.200.jpg,1632.0,384.0,1632.0,0.0,0.0,95.0,59.0,0.0,0.5,0.0,0.0,0.0,14.0
9,4311501342541,https://world.openfoodfacts.org/product/4311501342541,openfoodfacts-contributors,0.0,Studentenfutter,0.0,200.0,Deutschland,"40% Rosinen, 39% geröstete _Erdnusskerne_, 10% _Mandeln_, 10% _Cashews_, pflanzliches Öl (Palm, Sonnenblume)","en:nuts,en:peanuts",0.0,0.0,0.0,0,0.0,0.0,0.0,13.0,d,https://static.openfoodfacts.org/images/products/431/150/134/2541/front_de.8.400.jpg,https://static.openfoodfacts.org/images/products/431/150/134/2541/front_de.8.200.jpg,https://static.openfoodfacts.org/images/products/431/150/134/2541/front_de.8.400.jpg,https://static.openfoodfacts.org/images/products/431/150/134/2541/front_de.8.200.jpg,https://static.openfoodfacts.org/images/products/431/150/134/2541/ingredients_de.9.400.jpg,https://static.openfoodfacts.org/images/products/431/150/134/2541/ingredients_de.9.200.jpg,https://static.openfoodfacts.org/images/products/431/150/134/2541/nutrition_de.10.400.jpg,https://static.openfoodfacts.org/images/products/431/150/134/2541/nutrition_de.10.200.jpg,2106.0,0.0,2106.0,30.9,5.2,39.6,31.7,4.7,14.8,0.03,0.012,0.0,13.0
